🌍河南广电,#genre#
重庆卫视,http://219.159.147.195:9901/tsfile/live/1036_1.m3u8?key=txiptv
天津卫视,http://219.159.147.195:9901/tsfile/live/1037_1.m3u8?key=txiptv
天等台,http://219.159.147.195:9901/tsfile/live/1000_1.m3u8?key=txiptv
崇左综合,http://219.159.147.195:9901/tsfile/live/1001_1.m3u8?key=txiptv
广西卫视,http://219.159.147.195:9901/tsfile/live/1002_1.m3u8?key=txiptv


💽辽宁地区,#genre#
辽宁卫视,http://119.117.154.23:4022/rtp/232.0.0.126:1234
辽宁都市,http://119.117.154.23:4022/rtp/232.0.0.154:1234
