🌍HNGD,#genre#
CCTV-6高清,http://219.156.188.59:8089/rtp/225.1.4.160:1196
CCTV-7高清,http://219.156.188.59:8089/rtp/225.1.4.76:1105
CCTV-8高清,http://219.156.188.59:8089/rtp/225.1.4.161:1197
CCTV-9高清,http://219.156.188.59:8089/rtp/225.1.4.77:1106
CCTV-10高清,http://219.156.188.59:8089/rtp/225.1.4.78:1107
CCTV-11高清,http://219.156.188.59:8089/rtp/225.1.4.215:1268
CCTV-12高清,http://219.156.188.59:8089/rtp/225.1.4.79:1108
CCTV-13高清,http://219.156.188.59:8089/rtp/225.1.4.113:1293
CCTV-14高清,http://219.156.188.59:8089/rtp/225.1.4.80:1109
CCTV-15高清,http://219.156.188.59:8089/rtp/225.1.4.216:1269
CCTV-16高清,http://219.156.188.59:8089/rtp/225.1.5.46:1356
CCTV-17高清,http://219.156.188.59:8089/rtp/225.1.4.226:2506
CCTV-5＋高清,http://219.156.188.59:8089/rtp/225.1.4.75:1104
河南移动电视,http://219.156.188.59:8089/rtp/225.1.5.40:1350
湖南卫视高清,http://219.156.188.59:8089/rtp/225.1.4.82:1111
江苏卫视高清,http://219.156.188.59:8089/rtp/225.1.4.83:1112
浙江卫视高清,http://219.156.188.59:8089/rtp/225.1.4.84:1113
北京卫视高清,http://219.156.188.59:8089/rtp/225.1.4.81:1110
东方卫视高清,http://219.156.188.59:8089/rtp/225.1.4.85:1114
天津卫视高清,http://219.156.188.59:8089/rtp/225.1.4.86:1115
山东卫视高清,http://219.156.188.59:8089/rtp/225.1.4.88:1117
安徽卫视高清,http://219.156.188.59:8089/rtp/225.1.4.87:1116
深圳卫视高清,http://219.156.188.59:8089/rtp/225.1.4.90:1119
江西卫视高清,http://219.156.188.59:8089/rtp/225.1.4.139:1305
湖北卫视高清,http://219.156.188.59:8089/rtp/225.1.4.89:1118
四川卫视高清,http://219.156.188.59:8089/rtp/225.1.4.151:1306
黑龙江卫视高清,http://219.156.188.59:8089/rtp/225.1.4.91:1120
云南卫视高清,http://219.156.188.59:8089/rtp/225.1.4.152:1307
贵州卫视高清,http://219.156.188.59:8089/rtp/225.1.4.122:1302
辽宁卫视高清,http://219.156.188.59:8089/rtp/225.1.4.167:1208
东南卫视高清,http://219.156.188.59:8089/rtp/225.1.4.228:1274
重庆卫视高清,http://219.156.188.59:8089/rtp/225.1.4.157:1308
广东卫视高清,http://219.156.188.59:8089/rtp/225.1.4.166:1207
河北卫视高清,http://219.156.188.59:8089/rtp/225.1.4.123:1304
海南卫视,http://219.156.188.59:8089/rtp/225.1.4.25:1054
吉林卫视高清,http://219.156.188.59:8089/rtp/225.1.4.174:1309
金鹰纪实高清,http://219.156.188.59:8089/rtp/225.1.4.172:1711
爱上-4k,http://219.156.188.59:8089/rtp/225.1.4.162:1204
海南卫视高清,http://219.156.188.59:8089/rtp/225.1.4.195:1310
体育竞技高清,http://219.156.188.59:8089/rtp/225.1.4.235:1281
CHC家庭影院,http://219.156.188.59:8089/rtp/225.1.4.209:1262
CHC动作电影,http://219.156.188.59:8089/rtp/225.1.4.208:1261
CHC高清电影,http://219.156.188.59:8089/rtp/225.1.4.207:1260
爱体育高清,http://219.156.188.59:8089/rtp/225.1.4.168:1220
高清纪实,http://219.156.188.59:8089/rtp/225.1.4.170:1222

🌍SDLT,#genre#
CCTV1-综合,http://fangke.blueswords.com:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://fangke.blueswords.com:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://fangke.blueswords.com:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://fangke.blueswords.com:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://fangke.blueswords.com:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://fangke.blueswords.com:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://fangke.blueswords.com:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://fangke.blueswords.com:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://fangke.blueswords.com:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://fangke.blueswords.com:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://fangke.blueswords.com:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://fangke.blueswords.com:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://fangke.blueswords.com:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://fangke.blueswords.com:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://fangke.blueswords.com:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://fangke.blueswords.com:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://fangke.blueswords.com:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://fangke.blueswords.com:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://fangke.blueswords.com:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://fangke.blueswords.com:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://fangke.blueswords.com:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://fangke.blueswords.com:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://fangke.blueswords.com:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://fangke.blueswords.com:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://fangke.blueswords.com:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://fangke.blueswords.com:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://fangke.blueswords.com:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://fangke.blueswords.com:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://fangke.blueswords.com:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://fangke.blueswords.com:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://fangke.blueswords.com:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://fangke.blueswords.com:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://fangke.blueswords.com:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://fangke.blueswords.com:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://fangke.blueswords.com:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://fangke.blueswords.com:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://fangke.blueswords.com:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
山东体育,http://fangke.blueswords.com:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://fangke.blueswords.com:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0

🌍GXDX,#genre#
CCTV-2,http://219.159.147.195:9901/tsfile/live/1019_1.m3u8?key=txiptv
CCTV-3,http://219.159.147.195:9901/tsfile/live/1004_1.m3u8?key=txiptv
